id,station,temp_c,dewpoint_c,humidity_pct,wind_deg,wind_kt,gust_kt,visibility_m,cloud_layers,pressure_hpa,max_temp_c_6h,metar_raw,valid_utc,captured_at,trace_id,created_at
41,LFPG,18,3,37,210,15,26,,[],1017,,LFPG 241500Z 21015G26KT CAVOK 18/03 Q1017 NOSIG,2026-03-24 15:00:00+00,2026-03-24 15:02:22.947+00,ruth-metar-lfpg-20260324-150222947,2026-03-24 15:02:22.96161+00
42,KSEA,6.1,5.6,97,300,3,,,"[{""altFt"": 100, ""cover"": ""SCT""}, {""altFt"": 1100, ""cover"": ""SCT""}, {""altFt"": 3900, ""cover"": ""OVC""}]",,,KSEA 241500Z 30003KT 1 1/2SM RA BR SCT001 SCT011 OVC039 06/06 A2979 RMK AO2 TWR VIS 2 P0003 T00610056 $,2026-03-24 15:00:00+00,2026-03-24 15:02:34.949+00,ruth-metar-ksea-20260324-150234949,2026-03-24 15:02:34.962253+00
43,CYYZ,0,-9,51,200,10,,,"[{""altFt"": 13000, ""cover"": ""SCT""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,CYYZ 241500Z 20010KT 170V230 15SM SCT130 BKN250 00/M09 A3038 RMK AC3CI2 SLP298,2026-03-24 15:00:00+00,2026-03-24 15:07:14.242+00,ruth-metar-cyyz-20260324-150714242,2026-03-24 15:07:14.290875+00
44,EGLC,12,8,77,220,13,,9999,"[{""altFt"": 1700, ""cover"": ""OVC""}]",1010,,EGLC 241520Z AUTO 22013KT 180V250 9999 OVC017 12/08 Q1010,2026-03-24 15:20:00+00,2026-03-24 15:24:17.252+00,ruth-metar-eglc-20260324-152417252,2026-03-24 15:24:17.278335+00
45,KSEA,6.1,5.6,97,310,5,,,"[{""altFt"": 100, ""cover"": ""FEW""}, {""altFt"": 1100, ""cover"": ""SCT""}, {""altFt"": 3000, ""cover"": ""OVC""}]",,,KSEA 241528Z 31005KT 2SM -RA BR FEW001 SCT011 OVC030 06/06 A2977 RMK AO2 P0010 T00610056,2026-03-24 15:28:00+00,2026-03-24 15:30:32.247+00,ruth-metar-ksea-20260324-153032247,2026-03-24 15:30:32.284566+00
46,LFPG,18,4,39,220,15,,,[],1017,,LFPG 241530Z 22015KT CAVOK 18/04 Q1017 NOSIG,2026-03-24 15:30:00+00,2026-03-24 15:32:14.393+00,ruth-metar-lfpg-20260324-153214393,2026-03-24 15:32:14.410958+00
47,KSEA,6.1,5.6,97,290,5,,,"[{""altFt"": 200, ""cover"": ""SCT""}, {""altFt"": 1100, ""cover"": ""BKN""}, {""altFt"": 3000, ""cover"": ""OVC""}]",,,KSEA 241535Z 29005KT 1 1/2SM R16L/2000VP6000FT RA BR SCT002 BKN011 OVC030 06/06 A2978 RMK AO2 TWR VIS 2 P0013 T00610056,2026-03-24 15:35:00+00,2026-03-24 15:37:17.398+00,ruth-metar-ksea-20260324-153717398,2026-03-24 15:37:17.409776+00
48,KORD,4.4,-8.3,39,190,7,,,"[{""altFt"": 10000, ""cover"": ""BKN""}, {""altFt"": 14000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,KORD 241551Z 19007KT 10SM BKN100 BKN140 BKN250 04/M08 A3036 RMK AO2 SLP289 T00441083,2026-03-24 15:51:00+00,2026-03-24 16:00:02.099+00,ruth-metar-kord-20260324-160002099,2026-03-24 16:00:02.109813+00
49,KLGA,4.4,-10,34,330,12,18,,[],,,KLGA 241551Z 33012G18KT 10SM CLR 04/M10 A3042 RMK AO2 SLP301 T00441100,2026-03-24 15:51:00+00,2026-03-24 16:00:02.2+00,ruth-metar-klga-20260324-160002200,2026-03-24 16:00:02.300683+00
50,KATL,15.6,-6.7,21,110,15,26,,"[{""altFt"": 15000, ""cover"": ""FEW""}, {""altFt"": 18000, ""cover"": ""SCT""}, {""altFt"": 25000, ""cover"": ""SCT""}]",,,KATL 241552Z 11015G26KT 10SM FEW150 SCT180 SCT250 16/M07 A3027 RMK AO2 PK WND 06026/1531 SLP248 ACC S-W T01561067 $,2026-03-24 15:52:00+00,2026-03-24 16:00:02.355+00,ruth-metar-katl-20260324-160002355,2026-03-24 16:00:02.369219+00
