id,trace_id,service,station,level,category,message,metadata,created_at
1782,ruth-pws-kmia-20260324-162050680,wendy,KMIA,info,signal,"PWS anticipation: STRONG (score=1.000), METAR 79.0°F → estimated 85.1°F, bucket 78-79°F → 84-85°F","{""gap"": ""2.73"", ""conf"": ""1.00"", ""ramp"": ""5.00"", ""score"": 1, ""current"": ""78-79°F"", ""predicted"": ""84-85°F"", ""tEstimated"": ""29.51""}",2026-03-24 16:20:50.68307+00
1783,ruth-pws-kmia-20260324-162050680,wendy,KMIA,info,signal,"PWS already anticipated 82-83°F, skipping duplicate buy",,2026-03-24 16:20:50.683407+00
1784,ruth-pws-katl-20260324-162050853,wendy,KATL,info,signal,"PWS anticipation: STRONG (score=0.890), METAR 60.1°F → estimated 63.3°F, bucket 60-61°F → 62-63°F","{""gap"": ""1.29"", ""conf"": ""1.00"", ""ramp"": ""2.94"", ""score"": 0.8900000000000001, ""current"": ""60-61°F"", ""predicted"": ""62-63°F"", ""tEstimated"": ""17.38""}",2026-03-24 16:20:50.858229+00
1785,ruth-pws-katl-20260324-162050853,wendy,KATL,info,signal,"PWS already anticipated 64-65°F, skipping duplicate buy",,2026-03-24 16:20:50.858717+00
1786,ruth-pws-lfpg-20260324-162051261,wendy,LFPG,debug,signal,"PWS anticipation: WEAK (score=-0.238), METAR 18.0°C → estimated 17.1°C, bucket 18°C → 17°C","{""gap"": ""-1.06"", ""conf"": ""0.00"", ""ramp"": ""-2.94"", ""score"": -0.23750000000000035, ""current"": ""18°C"", ""predicted"": ""17°C"", ""tEstimated"": ""17.12""}",2026-03-24 16:20:51.264238+00
1787,ruth-pws-cyyz-20260324-162051439,wendy,CYYZ,info,signal,"PWS anticipation: STRONG (score=0.825), METAR 1.0°C → estimated 1.9°C, bucket 1°C → 2°C","{""gap"": ""1.00"", ""conf"": ""1.00"", ""ramp"": ""1.48"", ""score"": 0.8250000000000002, ""current"": ""1°C"", ""predicted"": ""2°C"", ""tEstimated"": ""1.94""}",2026-03-24 16:20:51.443492+00
1788,ruth-pws-cyyz-20260324-162051439,wendy,CYYZ,info,signal,"PWS already anticipated 4°C, skipping duplicate buy",,2026-03-24 16:20:51.443599+00
1789,ruth-pws-kdal-20260324-162149847,wendy,KDAL,info,signal,"PWS anticipation: STRONG (score=0.802), METAR 70.0°F → estimated 72.1°F, bucket 70-71°F → 72-73°F","{""gap"": ""1.79"", ""conf"": ""1.00"", ""ramp"": ""-0.20"", ""score"": 0.8024999999999998, ""current"": ""70-71°F"", ""predicted"": ""72-73°F"", ""tEstimated"": ""22.29""}",2026-03-24 16:21:49.859893+00
1790,ruth-pws-kord-20260324-162149998,wendy,KORD,info,signal,"PWS anticipation: STRONG (score=0.885), METAR 39.9°F → estimated 43.5°F, bucket 40-41°F → 42-43°F","{""gap"": ""1.27"", ""conf"": ""1.00"", ""ramp"": ""3.23"", ""score"": 0.8850000000000002, ""current"": ""40-41°F"", ""predicted"": ""42-43°F"", ""tEstimated"": ""6.38""}",2026-03-24 16:21:50.003771+00
1791,ruth-pws-kord-20260324-162149998,wendy,KORD,info,guard,"PWS guards blocked: price_out_of_range | estimated 43.5°F, bucket 42-43°F, price 0.01",,2026-03-24 16:21:50.017647+00
